,eps,sigma,q,steps,test_acc
5,4.0,0.5715066078978425,0.0038010957846441,792,0.7052752293577982
2,3.25,0.607176132813643,0.0038010957846441,792,0.698394495412844
1,2.75,0.636648345573876,0.0038010957846441,792,0.655963302752294
7,2.0,0.6945392638626464,0.0038010957846441,792,0.569954128440367
8,1.5,0.7497660219048379,0.0038010957846441,792,0.5217889908256881
